项目名称,链接,描述,Stars,语言,Forks,最后更新
lilishop,https://github.com/lilishop/lilishop,开源商城 JAVA商城 多语言商城 分销商城  uniapp商城 小程序商城  SAAS商城 ,4090,Java,1001,2026-01-17T02:51:10Z
albert_zh,https://github.com/brightmart/albert_zh,"A LITE BERT FOR SELF-SUPERVISED LEARNING OF LANGUAGE REPRESENTATIONS, 海量中文预训练ALBERT模型",3986,Python,750,2026-01-16T01:54:51Z
Windows-MCP,https://github.com/CursorTouch/Windows-MCP,MCP Server for Computer Use in Windows,3983,Python,475,2026-01-21T00:40:11Z
keyboard,https://github.com/boppreh/keyboard,Hook and simulate global keyboard events on Windows and Linux.,3964,Python,455,2026-01-19T13:41:24Z
PDF-Guru,https://github.com/kevin2li/PDF-Guru,PDF Guru Anki是你整个知识世界的“中枢转换器”，与 Anki 的强大记忆引擎无缝融合，能将来自任何地方、任何格式的知识精华，高效、系统、可持续地转化为牢固的长期记忆资产，打造专属自己的个性化Anki知识库，助你高效学习、轻松记忆。,3946,Vue,325,2026-01-20T09:26:49Z
PokemonGo-Bot,https://github.com/PokemonGoF/PokemonGo-Bot,"The Pokemon Go Bot, baking with community.",3904,Python,1510,2026-01-17T01:11:42Z
cms,https://github.com/siteserver/cms,SS CMS 基于 .NET Core，能够以最低的成本、最少的人力投入在最短的时间内架设一个功能齐全、性能优异、规模庞大并易于维护的网站平台。,3901,JavaScript,1243,2026-01-20T05:20:10Z
docker-webtop,https://github.com/linuxserver/docker-webtop,"Ubuntu, Alpine, Arch, and Fedora based Webtop images, Linux in a web browser supporting popular desktop environments.",3842,Shell,317,2026-01-20T14:58:00Z
awesome-webpack-cn,https://github.com/webpack-china/awesome-webpack-cn,[印记中文](https://docschina.org/) - webpack 优秀中文文章,3812,Unknown,571,2026-01-12T08:36:19Z
zen-desktop,https://github.com/ZenPrivacy/zen-desktop,"Simple, free and efficient ad-blocker and privacy guard for Windows, macOS and Linux.",3802,Go,118,2026-01-20T14:35:53Z
csharp-sdk,https://github.com/modelcontextprotocol/csharp-sdk,The official C# SDK for Model Context Protocol servers and clients. Maintained in collaboration with Microsoft.,3795,C#,604,2026-01-20T22:08:45Z
kungfu,https://github.com/kungfu-origin/kungfu,Kungfu Trader,3786,C++,1195,2026-01-20T17:26:04Z
Emby.Plugins.JavScraper,https://github.com/JavScraper/Emby.Plugins.JavScraper,Emby/Jellyfin 的一个日本电影刮削器插件，可以从某些网站抓取影片信息。,3717,C#,560,2026-01-19T18:33:21Z
Cnblogs-Theme-SimpleMemory,https://github.com/BNDong/Cnblogs-Theme-SimpleMemory,🍭　Cnblogs theme _ Basic theme :  SimpleMemory,3716,CSS,1495,2026-01-20T06:12:53Z
snow-shot,https://github.com/mg-chao/snow-shot,超好用的截图工具,3673,TypeScript,194,2026-01-21T02:32:23Z
ChatDoctor,https://github.com/Kent0n-Li/ChatDoctor,暂无描述,3634,Python,433,2026-01-09T06:31:21Z
ReplaceGoogleCDN,https://github.com/justjavac/ReplaceGoogleCDN,⚡️ 一个 Chrome 插件：将 Google CDN 替换为国内的。,3627,JavaScript,536,2026-01-18T12:59:22Z
Luotuo-Chinese-LLM,https://github.com/LC1332/Luotuo-Chinese-LLM,骆驼(Luotuo): Open Sourced Chinese Language Models. Developed by 陈启源 @ 华中师范大学 & 李鲁鲁 @ 商汤科技 & 冷子昂 @ 商汤科技,3621,Jupyter Notebook,247,2026-01-19T16:14:57Z
Streamer-Sales,https://github.com/PeterH0323/Streamer-Sales,Streamer-Sales 销冠 —— 卖货主播 LLM 大模型🛒🎁，一个能够根据给定的商品特点从激发用户购买意愿角度出发进行商品解说的卖货主播大模型。🚀⭐内含详细的数据生成流程❗ 📦另外还集成了 LMDeploy 加速推理🚀、RAG检索增强生成 📚、TTS文字转语音🔊、数字人生成 🦸、 Agent 使用网络查询实时信息🌐、ASR 语音转文字🎙️、Vue 生态搭建前端🍍、FastAPI 搭建后端🗝️、Docker-compose 打包部署🐋,3618,Python,560,2026-01-20T05:39:23Z
gantt-schedule-timeline-calendar,https://github.com/neuronetio/gantt-schedule-timeline-calendar,"Gantt Gantt Gantt Timeline Schedule Calendar [ javascript gantt, js gantt, projects gantt, timeline, scheduler, gantt timeline, reservation timeline, react gantt, angular gantt, vue gantt, svelte gantt, booking manager ]",3525,TypeScript,386,2026-01-21T01:01:39Z
design-patterns-for-humans-cn,https://github.com/guanguans/design-patterns-for-humans-cn,设计模式超简单的解释 - An ultra-simplified explanation to design patterns,3449,Unknown,478,2026-01-19T16:21:45Z
text-detection-ctpn,https://github.com/eragonruan/text-detection-ctpn,"text detection mainly based on ctpn model in tensorflow, id card detect, connectionist text proposal network",3441,Python,1323,2026-01-15T05:27:56Z
AI-Guide-and-Demos-zh_CN,https://github.com/Hoper-J/AI-Guide-and-Demos-zh_CN,这是一份入门AI/LLM大模型的逐步指南，包含教程和演示代码，带你从API走进本地大模型部署和微调，代码文件会提供Kaggle或Colab在线版本，即便没有显卡也可以进行学习。项目中还开设了一个小型的代码游乐场🎡，你可以尝试在里面实验一些有意思的AI脚本。同时，包含李宏毅 (HUNG-YI LEE）2024生成式人工智能导论课程的完整中文镜像作业。,3432,Python,370,2026-01-20T15:32:07Z
crypto-trading-bot,https://github.com/Haehnchen/crypto-trading-bot,"Cryptocurrency trading bot in javascript for Bitfinex, Bitmex, Binance, Bybit ... (public edition)",3408,JavaScript,1033,2026-01-15T11:06:59Z
dify-for-dsl,https://github.com/wwwzhouhui/dify-for-dsl,本项目是基于dify开源项目实现的dsl工作流脚本合集,3393,Python,672,2026-01-20T11:36:19Z
ADeus,https://github.com/adamcohenhillel/ADeus,"An open source AI wearable device that captures what you say and hear in the real world and then transcribes and stores it on your own server. You can then chat with Adeus using the app, and it will have all the right context about what you want to talk about - a truly personalized, personal AI.",3380,TypeScript,323,2026-01-19T15:08:14Z
overseas-website-note,https://github.com/princehuang/overseas-website-note,「海外工具网站」已经是我人生主要事业了，很庆幸还来得及，感谢这个伟大的 AI 时代。,3343,Unknown,385,2026-01-20T02:29:44Z
MiniExcel,https://github.com/mini-software/MiniExcel,"Fast, Low-Memory, Easy Excel .NET helper to import/export/template spreadsheet (support Linux, Mac)",3334,C#,402,2026-01-20T13:43:15Z
querybuilder,https://github.com/sqlkata/querybuilder,"SQL query builder, written in c#, helps you build complex queries easily, supports SqlServer, MySql, PostgreSql, Oracle, Sqlite and Firebird",3328,C#,521,2026-01-19T16:21:35Z
interview-questions,https://github.com/resumejob/interview-questions,"Interview Questions for Google, Amazon, Apple, etc. 根据超过 2000 篇真实面经整理的腾讯，阿里，字节跳动，Shopee，美团，滴滴高频面试题",3273,Unknown,388,2026-01-20T08:13:13Z
surging,https://github.com/microsurging/surging,"Surging is a micro-service engine that provides a lightweight, high-performance, modular RPC request pipeline.  support Event-based Asynchronous Pattern and reactive programming ,The service engine supports http, TCP, WS,Grpc, Thrift,Mqtt, UDP, and DNS protocols. It uses ZooKeeper and Consul as a registry, and integrates it. Hash, random, polling, Fair Polling as a load balancing algorithm, built-in service governance to ensure reliable RPC communication, the engine contains Diagnostic, link tracking for protocol and middleware calls, and integration SkyWalking Distributed APM",3265,C#,922,2026-01-18T15:46:32Z
awesome-cursor-rules-mdc,https://github.com/sanjeed5/awesome-cursor-rules-mdc,Curated list of awesome Cursor Rules .mdc files,3213,Python,373,2026-01-20T14:55:35Z
cursor-ai-downloads,https://github.com/oslook/cursor-ai-downloads,"All Cursor AI's official download links for both the latest and older versions, making it easy for you to update, downgrade, and choose any version. 🚀",3128,TypeScript,171,2026-01-20T22:16:14Z
IdGenerator,https://github.com/yitter/IdGenerator,💎多语言实现，高性能生成唯一数字ID。 💎优化的雪花算法（SnowFlake）——雪花漂移算法，在缩短ID长度的同时，具备极高瞬时并发处理能力（50W/0.1s）。 💎原生支持 C#/Java/Go/Rust/C/JavaScript/TypeScript/Python/Pascal 多语言，提供其它适用于其它语言的多线程安全调用动态库（FFI）。💎支持容器环境自动扩容（自动注册 WorkerId ），单机或分布式唯一IdGenerator。💎顶尖优化，超强效能。,3120,C,420,2026-01-20T12:59:08Z
self-consistent-coder,https://github.com/zhangchenchen/self-consistent-coder,如何成为一名自洽的程序员,3055,Shell,141,2026-01-21T01:17:02Z
CSrankings,https://github.com/emeryberger/CSrankings,"A web app for ranking computer science departments according to their research output in selective venues, and for finding active faculty across a wide range of areas.",3049,Python,3907,2026-01-20T08:12:32Z
GPT2-chitchat,https://github.com/yangjianxin1/GPT2-chitchat,GPT2 for Chinese chitchat/用于中文闲聊的GPT2模型(实现了DialoGPT的MMI思想),3014,Python,675,2026-01-14T02:10:12Z
learning-english,https://github.com/knowledgefxg/learning-english,精选优质英语学习资源合集，专注于听说读写等核心技能的提升。包含语法、词汇和媒体资源，助您更好地学习英语。,2992,Unknown,292,2026-01-20T21:48:36Z
hello-uniapp,https://github.com/dcloudio/hello-uniapp,uni-app框架演示示例,2992,Vue,1682,2026-01-18T03:55:37Z
pg_activity,https://github.com/dalibo/pg_activity,pg_activity is a top like application for PostgreSQL server activity monitoring.,2982,Python,195,2026-01-20T06:14:47Z
src,https://github.com/jsfront/src,常用代码收集资源分享,2957,Unknown,10,2026-01-20T19:41:25Z
SharpSCADA,https://github.com/GavinYellow/SharpSCADA,C# SCADA,2941,C#,1371,2026-01-20T10:53:13Z
DecryptLogin,https://github.com/CharlesPikachu/DecryptLogin,DecryptLogin: APIs for loginning some websites by using requests.,2868,Python,753,2026-01-12T07:53:39Z
osharp,https://github.com/dotnetcore/osharp,OSharp是一个基于.Net6.0的快速开发框架，框架对 AspNetCore 的配置、依赖注入、日志、缓存、实体框架、Mvc(WebApi)、身份认证、功能权限、数据权限等模块进行更高一级的自动化封装，并规范了一套业务实现的代码结构与操作流程，使 .Net  框架更易于应用到实际项目开发中。,2854,C#,767,2026-01-21T02:05:58Z
ZKEACMS,https://github.com/SeriaWei/ZKEACMS,ZKEACMS build with .Net 8 (.Net CMS)可视化设计在线编辑内容管理系统,2850,JavaScript,867,2026-01-14T13:24:13Z
advanced-programmer,https://github.com/CodingDocs/advanced-programmer,专业程序员修炼之路。,2793,Unknown,471,2026-01-17T12:37:36Z
web-interview,https://github.com/yisainan/web-interview,我是齐丶先丶森，收集整理全网面试题及面试技巧，旨在帮助前端工程师们找到一份好工作！更多详见公众号「前端面试秘籍」,2747,JavaScript,505,2026-01-20T17:05:18Z
vue-axios-github,https://github.com/superman66/vue-axios-github,Vue 全家桶 + axios 前端实现登录拦截、登出、拦截器等功能,2681,JavaScript,725,2026-01-20T06:16:22Z
OpenDeepWiki,https://github.com/AIDotNet/OpenDeepWiki,"OpenDeepWiki is the open-source version of the DeepWiki project, aiming to provide a powerful knowledge management and collaboration platform. The project is mainly developed using C# and TypeScript, supporting modular design, and is easy to expand and customize.",2679,C#,345,2026-01-21T01:40:43Z
cryptofeed,https://github.com/bmoscon/cryptofeed,Cryptocurrency Exchange Websocket Data Feed Handler,2669,Python,752,2026-01-20T04:51:49Z
time-as-a-friend,https://github.com/xiaolai/time-as-a-friend,《把时间当作朋友》,2664,Unknown,1045,2026-01-20T09:26:19Z
awesome-game-security,https://github.com/gmh5225/awesome-game-security,awesome game security [Welcome to PR],2659,Python,366,2026-01-21T01:18:56Z
ViewUI,https://github.com/view-design/ViewUI,A high quality UI Toolkit built on Vue.js 2.0,2644,Vue,792,2026-01-10T14:57:06Z
VideoPipe,https://github.com/sherlockchou86/VideoPipe,"A cross-platform video structuring (video analysis) framework. If you find it helpful, please give it a star: )  跨平台的视频结构化（视频分析）框架，觉得有帮助的请给个星星 : ) ",2641,C++,413,2026-01-20T07:08:17Z
Windows-Kernel-Explorer,https://github.com/AxtMueller/Windows-Kernel-Explorer,A free but powerful Windows kernel research tool.,2638,Unknown,580,2026-01-17T20:46:55Z
Translate-Subtitle-File,https://github.com/1c7/Translate-Subtitle-File,字幕机翻，翻译字幕文件 .srt .ass .vtt，和同类产品相比，特点是可以自己填写 API key，这样价格最低。最新版本 5.3.7 - 发布时间 2025 年 9 月 10 号,2582,Unknown,199,2026-01-20T20:51:33Z
YiShaAdmin,https://github.com/liukuo362573/YiShaAdmin,基于 .NET Core MVC 的权限管理系统，代码易读易懂、界面简洁美观,2581,C#,920,2026-01-19T16:21:49Z
JavaScript30,https://github.com/soyaine/JavaScript30,有关 @wesbos 的课程 JavaScript-30 的中文练习指南,2553,JavaScript,549,2026-01-08T06:42:29Z
docker-autocompose,https://github.com/Red5d/docker-autocompose,Generate a docker-compose yaml definition from a running container,2482,Python,232,2026-01-20T07:17:39Z
generators-with-stylegan2,https://github.com/a312863063/generators-with-stylegan2,Here is a series of face generators based on StyleGAN2,2479,Python,546,2026-01-15T12:30:52Z
Xenos,https://github.com/DarthTon/Xenos,Windows dll injector,2453,C++,582,2026-01-21T01:03:41Z
damaihelper,https://github.com/Guyungy/damaihelper,支持大麦网，淘票票、缤玩岛等多个平台，演唱会演出抢票脚本,2449,HTML,421,2026-01-21T02:27:34Z
free_proxy_ss,https://github.com/vxiaov/free_proxy_ss,分享免费梯子/科学上网/代理/shadowsocks(SS)/ShadowsocksR(SSR)/V2ray(vmess)代理，2小时更新一次，分享Clash代理订阅源和配置文件订阅链接。,2435,Unknown,450,2026-01-20T14:47:46Z
design-patterns-explained-with-food,https://github.com/wesdoyle/design-patterns-explained-with-food,"GoF Design Patterns with ""Real-World"" examples involving Food-Related Businesses and mock dependencies",2432,C#,172,2026-01-16T07:27:39Z
Fleck,https://github.com/statianzo/Fleck,C# Websocket Implementation,2422,C#,594,2026-01-19T16:23:46Z
prompts,https://github.com/kingkongshot/prompts,AI 相关的笔记,2413,Unknown,254,2026-01-19T16:21:23Z
blankly,https://github.com/blankly-finance/blankly,"🚀 💸  Easily build, backtest and deploy your algo in just a few lines of code. Trade stocks, cryptos, and forex across exchanges w/ one package.",2398,Python,308,2026-01-17T11:42:33Z
RIPER-5,https://github.com/NeekChaw/RIPER-5,神级Cursor Rule,2396,Unknown,333,2026-01-20T15:31:47Z
KDU,https://github.com/hfiref0x/KDU,Kernel Driver Utility,2376,C,492,2026-01-20T19:10:20Z
presentation-ai,https://github.com/allweonedev/presentation-ai,ALLWEONE® Open source AI presentation generator Gamma Alternative. Create professional slides with customizable themes and AI-generated content in minutes.,2334,TypeScript,432,2026-01-20T15:23:02Z
FreeControl,https://github.com/pdone/FreeControl,在PC上控制Android设备,2329,C#,266,2026-01-20T02:51:33Z
zasper,https://github.com/zasper-io/zasper,High Performace IDE for Jupyter Notebooks,2283,TypeScript,70,2026-01-18T02:59:08Z
javascript-notes,https://github.com/anbang/javascript-notes, JavaScript 学习笔记；JavaScript学习总结；前端变化太快，只有把JS基础打扎实了，才能游刃有余；为了让我的JavaScript基础异常牢固，思路更加清晰，我会把以前总结过的知识和平时看到的资料放在这里，把以前零零散散的知识点全部串起来！这个项目也许写到最后会是一个非常不错的JavaScript教程，希望可以帮到更多的人；收藏请点star；如果发现我有写错误的，欢迎随时帮我改正，或者增加新的观点，谢谢！,2264,HTML,499,2026-01-17T09:53:35Z
CppGuide,https://github.com/GrindGold/CppGuide,「C/C++学习+面试指南」一份涵盖大部分 C++ 程序员所需要掌握的知识。入门、进阶、深入、校招、社招，准备 C++ 学习& 面试，首选 CppGuide！,2254,Unknown,263,2026-01-19T10:41:26Z
jQueryGantt,https://github.com/robicch/jQueryGantt,jQuery Gantt editor,2249,JavaScript,940,2026-01-20T04:33:14Z
awesome-security-weixin-official-accounts,https://github.com/DropsOfZut/awesome-security-weixin-official-accounts,网络安全类公众号推荐，欢迎大家推荐,2216,Unknown,291,2026-01-21T00:31:17Z
Magicodes.IE,https://github.com/dotnetcore/Magicodes.IE,"Import and export general library, support Dto import and export, template export, fancy export and dynamic export, support Excel, Csv, Word, Pdf and Html.",2215,C#,497,2026-01-16T08:26:35Z
EfiGuard,https://github.com/Mattiwatti/EfiGuard,Disable PatchGuard and Driver Signature Enforcement at boot time,2214,C++,377,2026-01-20T14:20:56Z
Furion,https://github.com/monksoul/Furion,让 .NET 开发更简单，更通用，更流行。,2202,C#,466,2026-01-20T18:50:04Z
DynamicExpresso,https://github.com/dynamicexpresso/DynamicExpresso,C# expressions interpreter,2196,C#,402,2026-01-19T17:47:15Z
Vue2,https://github.com/sunseekers/Vue2,小白入坑vue三部曲，关于 vue 在工作的使用问题总结，请看博客  https://sunseekers.github.io/    一直保持更新,2123,JavaScript,627,2026-01-14T02:03:13Z
Hacking,https://github.com/ckjbug/Hacking,"🌐Collate and develop network security, Hackers technical documentation and tools, code.",2087,Batchfile,437,2026-01-19T17:25:54Z
javascript,https://github.com/lin-123/javascript,eslint-config-airbnb 中文版,2082,JavaScript,434,2026-01-17T22:47:25Z
prometheus-net,https://github.com/prometheus-net/prometheus-net,.NET library to instrument your code with Prometheus metrics,2079,C#,318,2026-01-21T00:52:47Z
awesome-dotnet-core,https://github.com/jasonhua95/awesome-dotnet-core,.NET Core库、工具、框架和软件的中文收录大全。 内容包括：库、工具、框架、模板引擎、身份认证、数据库、ORM框架、图片处理、文本处理、机器学习、日志、代码分析、教程等。,2068,C#,436,2026-01-19T16:24:32Z
csredis,https://github.com/2881099/csredis,.NET Core or .NET Framework 4.0+ client for Redis and Redis Sentinel (2.8) and Cluster. Includes both synchronous and asynchronous clients. ,2057,C#,423,2026-01-14T01:58:55Z
webp_server_go,https://github.com/webp-sh/webp_server_go,"Go version of WebP Server. A tool that will serve your JPG/PNG/BMP/SVGs as WebP/AVIF format with compression, on-the-fly.",1998,Go,187,2026-01-20T07:55:14Z
mcp-shrimp-task-manager,https://github.com/cjo4m06/mcp-shrimp-task-manager,"Shrimp Task Manager is a task tool built for AI Agents, emphasizing chain-of-thought, reflection, and style consistency. It converts natural language into structured dev tasks with dependency tracking and iterative refinement, enabling agent-like developer behavior in reasoning AI systems.",1983,JavaScript,237,2026-01-20T15:10:42Z
vuejs-learn,https://github.com/bhnddowinf/vuejs-learn,"(vue.js official website tutorials ，contains video , codes, baudi yun, youtube) 网路上有很多 VUE 综合应用的视频，但大部份的视频 ，都当你已经了解官网 所以讲的节奏难免偏快。 此视频(都是上代码)，以官网为重，将官网的观念，以视频搭配代码，实际演示。 如果官网有看不懂的地方，比对一下，视频跟代码，就会了解了。 减少你摸索的时间。(註：mvvm 的框架，不管是 ng , react, vue, avalonjs, 都是好的框架，而有经验的前端，至少都会两套以上的 mvvm。)",1964,JavaScript,470,2025-11-20T09:04:24Z
LLMs-Zero-to-Hero,https://github.com/bbruceyuan/LLMs-Zero-to-Hero,从无名小卒到大模型（LLM）大英雄~ 欢迎关注后续！！！,1960,Jupyter Notebook,132,2026-01-20T13:40:13Z
invoice,https://github.com/guanshuicheng/invoice,Collaboration with wangxupeng(https://github.com/wangxupeng),1958,C,459,2026-01-20T05:00:04Z
grandnode,https://github.com/grandnode/grandnode,"Open source, headless, multi-tenant eCommerce platform built with .NET Core, MongoDB, AWS DocumentDB, Azure CosmosDB, Vue.js. ",1904,C#,770,2026-01-16T12:56:37Z
xiaolai.github.io,https://github.com/xiaolai/xiaolai.github.io,an ever-growing brain,1890,HTML,902,2026-01-20T04:35:19Z
learning-article,https://github.com/webproblem/learning-article,学习资源 or 大前端导航，持续更新,1887,Unknown,414,2026-01-20T03:08:36Z
paylinks,https://github.com/essensoft/paylinks,一套基于 现代 .NET 开发，支持跨平台、多商户的第三方支付SDK。,1876,C#,495,2026-01-19T16:21:38Z
talib-document,https://github.com/HuaRongSAO/talib-document,talib学习 talib中文翻译 talib中文文档,1857,Unknown,593,2026-01-20T10:31:22Z
cs-script,https://github.com/oleg-shilo/cs-script,C# scripting platform,1847,C#,264,2026-01-20T14:03:24Z
android-reverse,https://github.com/WuFengXue/android-reverse,安卓逆向工具汇总 / Awsome Android Reverse Tools,1846,Unknown,240,2026-01-19T14:19:01Z
Dapper-Extensions,https://github.com/tmsmith/Dapper-Extensions,"Dapper Extensions is a small library that complements Dapper by adding basic CRUD operations (Get, Insert, Update, Delete) for your POCOs. For more advanced querying scenarios, Dapper Extensions provides a predicate system. The goal of this library is to keep your POCOs pure by not requiring any attributes or base class inheritance.",1819,C#,585,2026-01-20T09:39:45Z
whisper-turbo,https://github.com/FL33TW00D/whisper-turbo,"Cross-Platform, GPU Accelerated Whisper 🏎️",1803,TypeScript,83,2026-01-19T04:40:13Z
zanePerfor,https://github.com/wangweianger/zanePerfor,"前端性能监控系统,消息队列,高可用,集群等相关架构",1802,JavaScript,425,2026-01-19T07:38:27Z
AI-Products-All-In-One,https://github.com/TheExplainthis/AI-Products-All-In-One,彙整了真正實用的 ChatGPT 與生成式 AI 工具,1787,Unknown,172,2026-01-20T07:48:52Z
awesome-dotnet-cn,https://github.com/jobbole/awesome-dotnet-cn,DotNet 资源大全中文版，内容包括：编译器、压缩、应用框架、应用模板、加密、数据库、反编译、IDE、日志、风格指南等。,1778,Unknown,589,2026-01-13T16:44:11Z
charting-library-examples,https://github.com/tradingview/charting-library-examples,"Examples of Charting Library integrations with other libraries, frameworks and data transports",1777,TypeScript,831,2026-01-18T14:47:44Z
gitstars,https://github.com/cfour-hi/gitstars,Github Starred Repositories Manager,1765,Vue,319,2026-01-19T14:43:15Z
noScribe,https://github.com/kaixxx/noScribe,Cutting edge AI technology for automated audio transcription. A nice GUI for OpenAIs Whisper and pyannote (speaker identification),1719,Python,303,2026-01-20T18:39:29Z
gpt2-ml,https://github.com/imcaspar/gpt2-ml,"GPT2 for Multiple Languages, including pretrained models. GPT2 多语言支持, 15亿参数中文预训练模型",1708,Python,331,2025-12-24T19:42:17Z
FastTunnel,https://github.com/FastTunnel/FastTunnel,expose a local server to the internet.  高性能跨平台的内网穿透解决方案 远程内网计算机 域名访问内网站点 反向代理内网服务 端口转发 http代理 ,1690,C#,340,2026-01-19T14:05:24Z
Admin.Core,https://github.com/zhontai/Admin.Core,中台Admin 基于 .NET10 、Vue3、uniapp、element-plus开发的前后端分离的权限管理系统。通过项目模板快速搭建项目框架、网关、接口、im即时通讯服务端等项目。支持代码生成器、多租户、数据权限、动态Api、任务调度、打印设计、OSS文件上传、滑块拼图验证、动态高级查询。集成认证授权、事件总线、国际化、数据验证、分布式Id、分布式缓存、分布式事务、全Api鉴权、接口文档等。,1664,Vue,402,2026-01-20T09:19:53Z
apinto,https://github.com/eolinker/apinto,基于golang开发的网关。具有各种插件，可以自行扩展，即插即用。此外，它可以快速帮助企业管理API服务，提高API服务的稳定性和安全性。,1650,Go,249,2026-01-16T03:42:00Z
document,https://github.com/ranuts/document,Perform common file preview and editing via the web.,1649,JavaScript,165,2026-01-20T13:20:31Z
Email-newsletter-RSS,https://github.com/alaskasquirrel/Email-newsletter-RSS,邮箱 📧 newsletter RSS 荟萃 News,1648,Unknown,110,2026-01-17T03:13:03Z
RuoYi-Cloud,https://github.com/yangzongzhuan/RuoYi-Cloud,:tada: (RuoYi)官方仓库 基于Spring Boot、Spring Cloud & Alibaba的分布式微服务架构权限管理系统,1623,Java,868,2026-01-19T09:30:18Z
great-open-source-project,https://github.com/chenyl8848/great-open-source-project,收集整理Github、Gitte上优秀的开源项目。,1598,Unknown,256,2026-01-21T02:09:17Z
AgileConfig,https://github.com/dotnetcore/AgileConfig,基于.NET Core开发的轻量级分布式配置中心 / .NET  Core lightweight configuration server,1596,C#,318,2026-01-19T16:21:45Z
LumenIM,https://github.com/gzydong/LumenIM,Lumen IM 是一个网页版在线聊天项目，前端使用 Naive UI + Vue3，后端采用 GO 开发。,1575,Vue,344,2026-01-20T09:50:27Z
chronoframe,https://github.com/HoshinoSuzumi/chronoframe,"Self-hosted personal gallery application with online photo management and albums, supporting Live/Motion Photos, EXIF parsing, geolocation recognition, and an explore map.",1569,Vue,105,2026-01-20T16:41:34Z
cursor-rules,https://github.com/flyeric0212/cursor-rules,整理和收集来自不同项目的Cursor规则文件，提供多种编程语言和框架的规则支持。,1556,Unknown,314,2026-01-20T16:14:16Z
IoTClient,https://github.com/zhaopeiym/IoTClient,"This is an IoT device communication protocol implementation client, which will include common industrial communication protocols such as mainstream PLC communication reading, ModBus protocol, and Bacnet protocol. This component is open source and free for life, using the most relaxed MIT open source agreement, you can modify and commercial use at will (commercial use please evaluate and test).   这是一个物联网设备通讯协议实现客户端，将会包括主流PLC通信读取、ModBus协议、Bacnet协议等常用工业通讯协议。本组件终身开源免费，采用最宽松的MIT开源协议，您可以随意修改和商业使用（商业使用请做好评估和测试）。",1550,C#,460,2026-01-20T07:02:22Z
NewConceptEnglish,https://github.com/andylee1890/NewConceptEnglish,新概念学习笔记分享,1549,Unknown,216,2026-01-20T03:39:41Z
NetCodeTop,https://github.com/bianchenglequ/NetCodeTop,收集GitHub上有关C#/.Net、.NetCore有趣、有用、热门的开源项目。,1536,C#,240,2026-01-14T04:02:24Z
Review-Gate,https://github.com/LakshmanTurlapati/Review-Gate,"Review-Gate V2 is a powerful rule for the Cursor IDE that helps you get up to 5x more value from your monthly requests. It creates an interactive loop where the AI waits for your follow-up commands—via text, voice, or image upload—allowing you to perform deep, iterative work all within a single request.",1525,JavaScript,165,2026-01-19T07:58:01Z
triplea,https://github.com/triplea-game/triplea,"TripleA is a turn based strategy game and board game engine, similar to Axis & Allies or Risk.",1481,Java,443,2026-01-20T00:16:55Z
ssbc,https://github.com/78/ssbc,手撕包菜网站,1479,JavaScript,793,2026-01-20T01:19:39Z
hon,https://github.com/Andre0512/hon,Home Assistant integration for Haier hOn: support for Haier/Candy/Hoover home appliances like washing machines and air conditioners in 28 languages.,1475,Python,2435,2026-01-18T22:19:10Z
Zr.Admin.NET,https://github.com/izhaorui/Zr.Admin.NET,🎉ZR.Admin.NET是一款前后端分离的、跨平台基于RBAC的通用权限管理后台。ORM采用SqlSugar。前端采用Vue、AntDesign，支持多租户、缓存、任务调度、支持统一异常处理、接口限流、支持一键生成前后端代码，支持动态国际化翻译(Vue3)，等诸多黑科技，代码简洁易懂、易扩展让开发更简单、更通用。,1473,C#,153,2026-01-20T08:02:41Z
algotrading,https://github.com/ivopetiz/algotrading,Algorithmic trading framework for cryptocurrencies.,1469,Python,201,2026-01-20T22:31:39Z
YCursor,https://github.com/YanCchen/YCursor,支持 Cursor 全版本的一键全流程脚本，无限白嫖免费续杯试用，可用 Claude 4，win/mac的ID修改、自动注册替换新账户，实现一键全流程脚本 | 全网免费auto第一个解决自动更换账户后打开Cursor账户自动退出问题,1439,Unknown,77,2026-01-21T02:19:40Z
PuTTY,https://github.com/larryli/PuTTY,PuTTY 中文版，原 http://code.google.com/p/puttycn 项目。,1428,C,270,2026-01-20T05:28:53Z
Binary-Learning,https://github.com/gh0stkey/Binary-Learning,二进制安全相关的学习笔记，感谢滴水逆向的所有老师辛苦教学。,1415,Unknown,223,2026-01-11T09:19:13Z
reading-list,https://github.com/ruanyf/reading-list,Some books I read,1399,Unknown,195,2026-01-15T07:10:59Z
node.umelabs.dev,https://github.com/UmeLabs/node.umelabs.dev,每天24:00点前更新免费SS/SSR节点,1397,HTML,120,2026-01-17T02:18:18Z
iBlog,https://github.com/eshengsky/iBlog,基于 Node.js 的开源个人博客系统，采用 Nuxt + Vue + TypeScript 技术栈。,1381,Vue,399,2026-01-20T08:50:09Z
NetModular,https://github.com/iamoldli/NetModular,NetModular 是基于.Net Core 和 Vue.js 的业务模块化以及前后端分离的快速开发框架,1372,C#,444,2026-01-07T13:37:24Z
ai-to-pptx,https://github.com/SmartSchoolAI/ai-to-pptx,前端后端同时开源。 Ai-to-pptx是一个使用AI技术(DeepSeek)制作PPTX的助手，支持在线生成和导出PPTX。 主要功能: 1 使用DeepSeek等大语言模型来生成大纲 2 生成PPTX的时候可以选择不同的模板 3 支持导出PPTX,1354,TypeScript,182,2026-01-19T08:28:35Z
